,Position,Teams,Pts,GD,Wins,Draws,Losses,Net (VAR),Against (VAR),For (VAR)
0,1,Manchester City,89,61,28,5,5,-4,7,3
1,2,Arsenal,84,45,26,6,6,-2,7,5
2,3,Manchester United,75,15,23,6,9,0,4,4
3,4,Newcastle,71,35,19,14,5,1,9,10
4,5,Liverpool,67,28,19,10,9,5,4,9
5,6,Brighton & Hove Albion,62,19,18,8,12,-4,10,6
6,7,Aston Villa,61,5,18,7,13,1,6,7
7,8,Tottenham,60,7,18,6,14,-2,6,4
8,9,Brentford,59,12,15,14,9,6,5,11
9,10,Fulham,52,2,15,7,16,5,2,7
10,11,Crystal Palace,45,-9,11,12,15,-1,6,5
11,12,Chelsea,44,-9,11,11,16,0,4,4
12,13,Wolves,41,-27,11,8,19,-1,5,4
13,14,West Ham,40,-13,11,7,20,-1,10,9
14,15,Bournemouth,39,-34,11,6,21,1,5,6
15,16,Nottm Forest,38,-30,9,11,18,3,6,9
16,17,Everton,36,-23,8,12,18,0,3,3
17,18,Leicester City,34,-17,9,7,22,-2,8,6
18,19,Leeds,31,-30,7,10,21,-3,7,4
19,20,Southampton,25,-37,6,7,25,-1,4,3
